time_ms,throttle,pitch,roll,yaw,m1,m2,m3,m4
12243,1498,-3.9,3.07,0.24,1000,1000,1000,1000
12355,1498,-3.87,3.1,0.22,1000,1000,1000,1000
12450,1498,-3.88,3.07,0.21,1000,1000,1000,1000
12587,1498,-3.89,3.06,0.19,1000,1000,1000,1000
12747,1498,-3.87,3.05,0.27,1000,1000,1000,1000
12882,1498,-3.86,3.06,0.21,1000,1000,1000,1000
12975,1498,-3.82,3.04,0.05,1000,1000,1000,1000
13090,1498,-3.84,3.08,0.22,1000,1000,1000,1000
13180,1498,-3.86,3.05,0.0,1000,1000,1000,1000
13296,1498,-3.9,3.05,0.15,1000,1000,1000,1000
13386,1498,-3.85,3.07,0.34,1000,1000,1000,1000
13479,1498,-3.85,3.06,0.01,1000,1000,1000,1000
13567,1498,-3.87,3.02,0.18,1000,1000,1000,1000
13679,1498,-3.85,3.03,0.15,1000,1000,1000,1000
13792,1498,-3.87,3.05,0.09,1000,1000,1000,1000
13907,1498,-3.89,3.04,0.41,1000,1000,1000,1000
14002,1498,-3.88,3.05,0.18,1000,1000,1000,1000
14094,1498,-3.87,3.07,0.13,1000,1000,1000,1000
14231,1498,-3.9,3.04,0.17,1000,1000,1000,1000
14319,1498,-3.9,3.04,0.2,1000,1000,1000,1000
14437,1498,-3.91,3.03,0.23,1000,1000,1000,1000
14529,1498,-3.89,3.04,0.21,1000,1000,1000,1000
14646,1498,-3.89,3.05,0.15,1000,1000,1000,1000
14777,1498,-3.89,3.07,0.13,1000,1000,1000,1000
14869,1498,-3.89,3.07,0.34,1000,1000,1000,1000
14964,1498,-3.89,3.07,0.15,1000,1000,1000,1000
15052,1498,-3.86,3.09,0.15,1000,1000,1000,1000
15144,1498,-3.85,3.07,0.24,1000,1000,1000,1000
15235,1498,-3.87,3.08,0.23,1000,1000,1000,1000
15369,1498,-3.87,3.07,0.14,1000,1000,1000,1000
15463,1498,-3.86,3.07,0.15,1000,1000,1000,1000
15556,1498,-3.86,3.06,0.35,1000,1000,1000,1000
15646,1498,-3.88,3.04,0.2,1000,1000,1000,1000
15738,1498,-3.87,3.09,0.2,1000,1000,1000,1000
15849,1498,-3.85,3.05,0.29,1000,1000,1000,1000
15942,1498,-3.87,3.05,0.08,1000,1000,1000,1000
16059,1498,-3.87,3.11,-0.01,1000,1000,1000,1000
16196,1499,-3.87,3.08,0.08,1000,1000,1000,1000
16287,1498,-3.91,3.06,0.24,1000,1000,1000,1000
16379,1498,-3.9,3.07,0.2,1000,1000,1000,1000
16470,1498,-3.9,3.06,0.34,1000,1000,1000,1000
16585,1498,-3.89,3.05,0.23,1000,1000,1000,1000
16678,1498,-3.89,3.09,0.15,1000,1000,1000,1000
16769,1498,-3.91,3.09,0.18,1000,1000,1000,1000
16859,1498,-3.91,3.08,0.4,1000,1000,1000,1000
16990,1498,-3.88,3.09,0.18,1000,1000,1000,1000
17086,1498,-3.86,3.09,0.2,1000,1000,1000,1000
17196,1498,-3.85,3.06,0.2,1000,1000,1000,1000
17288,1498,-3.88,3.04,0.19,1000,1000,1000,1000
17517,1498,-3.89,3.07,0.19,1000,1000,1000,1000
17768,1499,-3.9,3.1,0.26,1000,1000,1000,1000
17906,1498,-3.88,3.12,0.25,1000,1000,1000,1000
18021,1498,-3.88,3.09,0.24,1000,1000,1000,1000
18154,1498,-3.9,3.12,0.27,1000,1000,1000,1000
18269,1498,-3.92,3.06,0.13,1000,1000,1000,1000
18388,1498,-3.93,3.06,0.16,1000,1000,1000,1000
18567,1498,-3.87,3.07,0.18,1000,1000,1000,1000
18703,1498,-3.84,3.1,0.21,1000,1000,1000,1000
18843,1498,-3.86,3.08,0.18,1000,1000,1000,1000
18956,1498,-3.87,3.06,0.18,1000,1000,1000,1000
19136,1498,-3.89,3.07,0.08,1000,1000,1000,1000
19275,1498,-3.86,3.06,0.34,1000,1000,1000,1000
19457,1498,-3.89,3.08,0.18,1000,1000,1000,1000
19597,1498,-3.91,3.1,0.1,1000,1000,1000,1000
19734,1498,-3.88,3.1,0.2,1000,1000,1000,1000
19869,1498,-3.86,3.09,0.16,1000,1000,1000,1000
19986,1498,-3.85,3.12,0.24,1000,1000,1000,1000
20117,1498,-3.9,3.08,0.32,1000,1000,1000,1000
20255,1498,-3.91,3.05,0.23,1000,1000,1000,1000
20390,1498,-3.85,3.08,0.12,1000,1000,1000,1000
20506,1498,-3.84,3.08,0.26,1000,1000,1000,1000
20617,1498,-3.85,3.09,0.18,1000,1000,1000,1000
20735,1498,-3.88,3.07,0.18,1000,1000,1000,1000
20872,1498,-3.91,3.06,0.34,1000,1000,1000,1000
20988,1498,-3.9,3.06,0.28,1000,1000,1000,1000
21101,1498,-3.88,3.04,0.15,1000,1000,1000,1000
21213,1498,-3.91,3.03,0.09,1000,1000,1000,1000
21351,1498,-3.93,3.07,0.24,1000,1000,1000,1000
21463,1498,-3.86,3.08,0.26,1000,1000,1000,1000
21599,1498,-3.89,3.08,0.26,1000,1000,1000,1000
21739,1498,-3.87,3.08,0.08,1000,1000,1000,1000
21877,1498,-3.87,3.09,0.14,1000,1000,1000,1000
22015,1498,-3.87,3.08,0.32,1000,1000,1000,1000
22175,1498,-3.86,3.06,0.24,1000,1000,1000,1000
22286,1499,-3.87,3.06,0.16,1000,1000,1000,1000
22397,1498,-3.85,3.05,0.25,1000,1000,1000,1000
22509,1498,-3.88,3.04,0.19,1000,1000,1000,1000
22626,1498,-3.87,3.07,0.19,1000,1000,1000,1000
22764,1498,-3.91,3.07,0.25,1000,1000,1000,1000
22898,1499,-3.9,3.09,0.09,1000,1000,1000,1000
23040,1498,-3.91,3.06,0.15,1000,1000,1000,1000
23153,1498,-3.88,3.05,0.24,1000,1000,1000,1000
23287,1498,-3.87,3.05,0.18,1000,1000,1000,1000
23402,1498,-3.88,3.03,0.18,1000,1000,1000,1000
23513,1498,-3.86,3.03,0.02,1000,1000,1000,1000
23673,1498,-3.92,3.07,0.24,1000,1000,1000,1000
23789,1498,-3.88,3.07,0.24,1000,1000,1000,1000
23942,1498,-3.94,3.08,0.17,1000,1000,1000,1000
24059,1498,-3.97,3.08,0.39,1000,1000,1000,1000
24196,1498,-4.03,3.09,0.13,1000,1000,1000,1000
24376,1498,-3.91,3.1,0.24,1000,1000,1000,1000
24489,1498,-3.98,3.1,0.09,1000,1000,1000,1000
24622,1498,-4.1,3.13,0.27,1000,1000,1000,1000
24739,1498,-4.38,3.27,0.63,1000,1000,1000,1000
24876,1498,-5.14,3.1,-0.88,1000,1000,1000,1000
25008,1498,-7.06,3.64,3.11,1000,1000,1000,1000
25125,1498,-9.16,3.4,2.44,1000,1000,1000,1000
25282,1498,-13.14,3.13,0.55,1000,1000,1000,1000
25465,1498,-16.14,3.24,0.02,1000,1000,1000,1000
25603,1498,-16.86,3.29,-0.68,1000,1000,1000,1000
25737,1498,-17.09,3.35,-0.54,1000,1000,1000,1000
25874,1498,-16.87,3.44,0.06,1000,1000,1000,1000
26008,1498,-16.45,3.54,1.86,1000,1000,1000,1000
26124,1498,-14.68,3.48,2.4,1000,1000,1000,1000
26260,1498,-11.68,3.29,0.62,1000,1000,1000,1000
26374,1498,-9.72,3.32,0.37,1000,1000,1000,1000
26511,1499,-7.66,3.35,-0.16,1000,1000,1000,1000
26646,1498,-6.5,3.26,-0.95,1000,1000,1000,1000
26756,1498,-5.29,3.23,-1.8,1000,1000,1000,1000
26895,1498,-2.48,1.64,0.06,1000,1000,1000,1000
27031,1498,-3.08,2.31,-0.04,1000,1000,1000,1000
27194,1498,-3.59,2.83,0.19,1000,1000,1000,1000
27354,1498,-3.76,3.05,0.12,1000,1000,1000,1000
27625,1498,-3.89,3.1,0.15,1000,1000,1000,1000
27786,1498,-3.89,3.11,0.3,1000,1000,1000,1000
27949,1498,-3.91,3.12,0.21,1000,1000,1000,1000
28083,1498,-3.93,3.13,0.17,1000,1000,1000,1000
28197,1498,-3.92,3.11,0.13,1000,1000,1000,1000
